
2005 01,09,05,13,03,06,07,02,01,09,05,04,03,06,10,02,01,09,12,04,03,06,07,02,01,08,05,04,03,06,10,02,01,13,06,02,01,05,03,02,01,04,03,02,01,05,03,02,01,02,01,02,01,03,01,02,01,02,01,01,02,01,02
2004 01,08,05,13,03,11,07,02,01,09,05,04,03,06,07,02,01,09,05,04,03,06,10,02,01,08,12,04,03,06,07,02,01,05,11,02,01,05,03,07,01,04,06,02,01,04,03,02,01,02,01,07,01,06,04,03,02,07,01,04,02,01,02
2003 01,09,05,04,03,11,07,02,01,08,05,04,03,06,07,02,01,08,05,04,03,06,07,02,01,08,05,04,03,06,07,02,01,05,11,02,01,05,06,02,01,04,06,02,01,05,06,02,01,02,01,02,01,02,01,02,01,02,01,01,01,01,01
2002 01,08,12,04,03,06,07,02,01,09,12,04,03,06,10,02,01,09,05,04,03,06,07,02,01,09,05,04,03,11,07,02,01,04,03,07,01,04,03,02,01,04,03,07,01,04,11,02,01,03,01,03,01,07,01,02,01,01,01,02,01,01,01
2001 01,09,05,04,03,11,10,02,01,08,05,04,03,06,07,02,01,09,05,04,03,06,07,02,01,09,05,04,03,06,10,02,01,04,03,10,01,05,03,02,01,04,03,02,01,05,06,02,01,03,01,03,04,03,05,06,01,01,03,05,01,03,01
2000 01,09,05,04,03,11,10,02,01,09,12,04,03,06,07,02,01,08,05,04,03,06,07,02,01,09,05,13,03,11,10,02,01,04,03,02,01,04,03,02,01,04,03,02,01,05,11,02,01,03,01,02,01,03,01,02,01,02,01,02,01,01,01
1999 01,08,05,04,03,11,10,02,01,08,05,04,03,11,07,02,01,09,05,04,03,06,10,02,01,08,05,04,03,06,07,02,01,04,03,02,01,04,03,02,01,04,03,02,01,04,03,02,01,03,04,03,01,03,01,03,03,03,01,01,03,01,01
1998 01,09,12,04,03,06,10,02,01,09,12,04,03,06,07,02,01,08,05,04,03,11,07,02,16,09,05,04,03,11,10,02,01,04,03,02,09,04,03,02,01,05,03,02,09,05,03,02,04,02,04,03,01,02,09,02,04,03,01,09,03,01,01
1997 01,08,05,04,03,06,07,02,01,09,05,04,03,06,07,02,01,08,12,04,03,06,07,02,01,08,05,04,03,06,07,02,01,05,06,02,01,04,03,02,01,04,03,02,01,04,06,02,05,06,01,03,01,03,01,02,06,03,01,01,03,01,03
1996 01,09,05,04,03,06,10,02,01,09,12,04,03,06,07,02,01,09,12,04,03,11,07,02,01,08,05,04,03,06,10,02,01,04,03,02,01,12,03,02,01,04,11,02,01,04,06,02,01,03,01,03,01,02,01,06,01,01,02,01,01,02,01
1995 01,08,05,04,03,06,07,02,01,08,12,04,03,06,10,02,01,09,05,04,03,06,10,02,01,09,05,04,03,11,07,02,01,04,03,02,01,04,03,02,01,04,03,02,01,04,03,07,01,03,04,02,01,02,01,03,01,02,01,03,01,01,01
1994 01,09,12,04,03,06,10,02,01,08,05,13,03,06,07,02,01,09,05,04,03,06,07,02,01,09,05,04,03,06,10,02,01,04,03,02,01,13,03,02,01,04,03,02,01,04,06,02,01,03,01,02,04,02,01,06,03,01,04,06,03,04,03
