
# MEN'S DATA (64-TEAM STARTING 1985):
2005M 01,09,12,04,11,03,07,02,01,08,05,04,06,03,07,02,01,09,05,04,06,14,10,02,01,09,05,13,06,03,07,02,01,12,03,02,01,04,06,07,01,05,06,10,01,05,06,02,01,03,04,07,01,06,05,02,01,04,01,05,01,01,01
2004M 01,09,12,04,06,03,10,02,01,08,12,04,06,03,07,02,01,08,05,04,06,03,07,02,01,08,05,04,06,03,07,02,09,04,03,10,01,04,03,02,01,05,03,07,08,05,06,02,04,03,01,02,01,07,08,02,03,02,01,02,03,02,02
2003M 01,09,05,13,06,03,07,02,01,09,05,04,11,03,10,02,01,09,05,04,06,03,07,02,01,08,12,04,06,03,10,02,01,05,03,02,01,05,03,02,01,05,06,07,01,12,03,10,01,03,01,02,01,07,01,03,03,02,01,03,02,03,03
2002M 01,08,05,13,06,03,10,02,01,08,12,04,11,03,07,02,01,08,12,04,11,03,07,02,01,08,12,04,06,03,07,02,01,05,03,10,08,12,03,02,01,04,11,02,01,04,06,02,05,10,12,02,01,02,01,02,05,02,01,01,05,01,01
2001M 01,09,12,04,06,03,07,02,01,09,05,13,11,03,10,15,01,09,12,13,11,03,07,02,01,09,05,04,06,03,10,02,01,04,06,02,01,05,03,10,01,12,11,07,01,04,03,02,01,06,01,03,01,11,01,02,01,03,01,02,01,02,01
2000M 01,08,05,04,06,03,10,02,01,08,05,04,06,03,07,02,01,08,05,04,11,03,10,02,01,08,05,04,06,03,07,02,08,04,06,10,01,04,06,02,01,05,03,10,08,04,06,07,08,06,01,02,05,03,08,07,08,01,05,08,01,05,01
1999M 01,09,12,04,06,03,10,02,01,09,05,04,06,14,10,02,01,09,05,13,06,03,10,02,01,09,12,04,06,03,10,02,01,04,03,02,01,05,06,10,01,13,03,10,01,12,06,10,04,03,01,10,01,03,01,06,04,01,01,01,01,01,01
1998M 01,08,05,04,11,14,07,02,01,09,05,04,06,03,10,02,01,08,12,13,11,03,10,02,01,08,05,04,06,03,10,02,01,04,11,02,01,04,03,10,08,13,03,02,01,05,06,02,01,02,01,03,08,03,01,02,01,03,03,02,03,02,02
1997M 01,09,05,04,03,06,10,15,01,08,12,04,06,14,10,02,01,09,05,04,06,03,07,02,01,08,05,04,06,03,07,02,01,05,06,10,01,04,14,10,01,04,06,02,01,04,06,02,01,06,04,10,01,02,01,02,01,04,01,01,04,01,04
1996M 01,09,12,04,06,03,07,02,01,09,05,13,11,03,07,02,01,09,05,04,06,03,10,02,01,08,12,04,06,03,10,02,01,12,03,02,01,05,03,02,01,04,06,02,08,04,03,02,01,02,05,02,01,02,04,02,01,05,01,04,01,04,01
1995M 01,08,12,04,06,03,07,02,01,09,05,13,06,14,07,02,01,09,05,04,06,14,10,02,01,08,05,04,11,03,07,02,01,04,06,02,01,05,06,02,01,04,06,02,01,05,03,02,04,02,01,02,04,02,01,02,02,02,04,01,02,01,01
