2019 01,09,12,04,06,03,10,02,01,09,12,04,06,03,10,02,01,09,12,13,06,03,10,02,01,09,05,04,11,03,07,02,01,04,03,02,01,04,03,02,01,12,03,02,01,05,03,02,01,02,01,03,01,03,05,03,02,03,01,05,03,01,01
2018 16,09,05,13,11,03,07,02,01,09,05,04,06,03,07,02,01,09,05,13,06,03,10,02,01,08,05,04,11,03,07,02,09,05,11,07,09,04,03,07,01,05,03,02,01,05,11,02,09,11,09,03,01,03,01,02,11,03,01,01,03,01,01
2017 01,08,05,04,11,03,07,02,01,08,05,04,11,03,07,02,01,09,05,04,11,03,07,02,01,08,12,04,06,03,10,02,08,04,03,07,01,04,11,02,01,04,03,07,01,04,03,02,04,07,01,11,01,03,01,02,07,01,03,01,01,01,01
2016 01,09,05,13,11,03,07,02,01,08,12,04,11,03,10,02,01,09,05,04,06,14,07,02,01,09,12,04,11,03,10,15,01,05,03,02,01,04,03,02,01,05,06,07,01,04,11,10,01,02,01,02,01,06,01,10,02,02,01,10,02,01,02
2015 01,08,05,04,06,03,07,02,01,08,05,04,06,14,10,02,01,08,05,04,11,03,07,02,01,08,05,04,11,14,07,02,01,05,03,07,01,04,06,02,08,04,03,07,01,05,11,02,01,03,01,02,04,07,01,02,01,01,07,01,01,01,01
2014 01,09,12,04,11,03,10,02,01,08,12,04,06,03,07,02,01,08,12,04,06,03,07,02,01,08,05,04,11,14,07,02,01,04,11,10,01,04,03,07,01,04,06,02,08,04,11,02,01,11,04,07,01,02,08,02,01,07,02,08,07,08,07
2013 01,08,12,04,06,03,07,02,01,09,12,13,06,14,10,02,01,08,05,04,11,03,07,15,01,09,12,04,06,03,07,02,01,12,03,02,09,13,06,02,01,04,03,15,01,04,03,02,01,02,09,02,04,03,04,03,01,09,04,04,01,03,01
2012 01,08,12,04,11,03,10,15,01,09,05,04,06,03,07,15,01,08,05,04,06,03,07,02,01,08,12,13,11,03,10,02,01,04,03,10,01,04,03,07,01,04,06,02,01,13,11,02,01,03,04,07,01,02,01,02,01,04,02,02,01,02,01
2011 01,08,05,04,11,03,07,02,01,08,05,04,06,03,07,02,01,09,12,13,11,03,10,02,01,08,05,04,11,03,07,02,01,04,11,02,01,05,03,02,01,12,11,10,08,04,03,02,04,02,05,03,01,11,08,02,04,03,11,08,03,08,03
2010 01,09,05,04,06,14,10,02,01,08,05,13,06,03,07,02,01,09,12,04,11,03,10,02,01,08,05,04,11,03,10,02,09,05,06,02,01,05,06,02,01,12,11,02,01,04,03,10,06,05,05,02,01,02,01,03,05,05,02,01,05,01,01
2009 01,09,12,13,11,03,10,02,01,09,05,04,06,03,10,02,01,08,12,04,06,03,07,02,01,08,12,04,06,03,10,02,01,12,03,02,01,05,03,02,01,04,03,02,01,04,03,02,01,02,01,03,01,03,01,02,02,01,03,01,02,01,01
2008 01,09,05,04,06,03,07,02,01,08,05,04,06,03,07,02,01,08,12,13,11,03,10,02,01,09,12,13,06,03,07,02,01,04,03,02,01,05,03,02,01,12,03,10,01,12,03,07,01,03,01,02,01,10,03,01,01,01,01,01,01,01,01
2007 01,09,05,04,11,03,07,02,01,08,05,04,11,03,07,02,01,09,05,04,06,03,07,02,01,09,05,04,06,03,07,02,01,05,03,07,01,04,03,02,01,05,06,02,01,05,03,02,01,03,01,02,01,02,01,02,01,02,02,01,01,01,01
2006 01,08,12,04,06,14,10,02,01,09,05,13,06,03,10,02,01,08,05,04,11,03,07,02,01,08,12,04,11,03,07,02,01,04,06,02,01,13,03,02,01,05,11,07,01,04,03,07,04,02,01,02,01,11,01,03,04,02,11,03,02,03,03
2005 01,09,12,04,11,03,07,02,01,08,05,04,06,03,07,02,01,09,05,04,06,14,10,02,01,09,05,13,06,03,07,02,01,12,03,02,01,04,06,07,01,05,06,10,01,05,06,02,01,03,04,07,01,06,05,02,01,04,01,05,01,01,01
2004 01,09,12,04,06,03,10,02,01,08,12,04,06,03,07,02,01,08,05,04,06,03,07,02,01,08,05,04,06,03,07,02,09,04,03,10,01,04,03,02,01,05,03,07,08,05,06,02,04,03,01,02,01,07,08,02,03,02,01,02,03,02,02
2003 01,09,05,13,06,03,07,02,01,09,05,04,11,03,10,02,01,09,05,04,06,03,07,02,01,08,12,04,06,03,10,02,01,05,03,02,01,05,03,02,01,05,06,07,01,12,03,10,01,03,01,02,01,07,01,03,03,02,01,03,02,03,03
2002 01,08,05,13,06,03,10,02,01,08,12,04,11,03,07,02,01,08,12,04,11,03,07,02,01,08,12,04,06,03,07,02,01,05,03,10,08,12,03,02,01,04,11,02,01,04,06,02,05,10,12,02,01,02,01,02,05,02,01,01,05,01,01
2001 01,09,12,04,06,03,07,02,01,09,05,13,11,03,10,15,01,09,12,13,11,03,07,02,01,09,05,04,06,03,10,02,01,04,06,02,01,05,03,10,01,12,11,07,01,04,03,02,01,06,01,03,01,11,01,02,01,03,01,02,01,02,01
